"","title","date","author","year","day","month","month.num","date.comb","date.format"
"1","Annotation charts and histograms with googleVis","April 8, 2014","Markus Gesmann",2014,8,"April",4,"2014-4-8",2014-04-08
"2","Get notified when R packages update","April 8, 2014","DataCamp",2014,8,"April",4,"2014-4-8",2014-04-08
"3","Ensemble Packages in R","April 8, 2014","Joseph Rickert",2014,8,"April",4,"2014-4-8",2014-04-08
"4","devtools 1.5","April 8, 2014","hadleywickham",2014,8,"April",4,"2014-4-8",2014-04-08
"5","JMBayes R package (webinar)","April 8, 2014","Bob Muenchen",2014,8,"April",4,"2014-4-8",2014-04-08
"6","Importing Business Climate Index from IFO","April 8, 2014","Thomas Huben",2014,8,"April",4,"2014-4-8",2014-04-08
"7","Ontario First Nations Libraries Compared Using Ontario Open Data","April 7, 2014","inkhorn82",2014,7,"April",4,"2014-4-7",2014-04-07
"8","RcppArmadillo 0.4.200.0","April 7, 2014","Thinking inside the box",2014,7,"April",4,"2014-4-7",2014-04-07
"9","Quality of Historical Stock Prices from Yahoo Finance","April 7, 2014","systematicinvestor",2014,7,"April",4,"2014-4-7",2014-04-07
"10","Dams in the United States from the National Inventory of Dams (NID) Database","April 7, 2014","Gopi Goteti",2014,7,"April",4,"2014-4-7",2014-04-07
"11","Data detective work: work out the numerator or denominator given a percentage","April 7, 2014","Robert",2014,7,"April",4,"2014-4-7",2014-04-07
"12","In case you missed it: March 2014 roundup","April 7, 2014","David Smith",2014,7,"April",4,"2014-4-7",2014-04-07
"13","R jobs (April 7th 2014)","April 7, 2014","Tal Galili",2014,7,"April",4,"2014-4-7",2014-04-07
"14","R Continues Its Rapid Growth","April 7, 2014","Bob Muenchen",2014,7,"April",4,"2014-4-7",2014-04-07
"15","Earthquake Magnitude / Depth Chart","April 7, 2014","andrew",2014,7,"April",4,"2014-4-7",2014-04-07
"16","Active or Passive?","April 7, 2014","Thomas Huben",2014,7,"April",4,"2014-4-7",2014-04-07
"17","Computational Actuarial Science","April 6, 2014","arthur charpentier",2014,6,"April",4,"2014-4-6",2014-04-06
"18","Stationarity of ARCH processes","April 6, 2014","arthur charpentier",2014,6,"April",4,"2014-4-6",2014-04-06
"19","Job at Center for Open Science","April 6, 2014","Rob J Hyndman",2014,6,"April",4,"2014-4-6",2014-04-06
"20","data scientist position","April 6, 2014","xi'an",2014,6,"April",4,"2014-4-6",2014-04-06
"21","More on freqparcoord","April 6, 2014","matloff",2014,6,"April",4,"2014-4-6",2014-04-06
"22","Author inflation in academic literature","April 6, 2014","benjaminlmoore",2014,6,"April",4,"2014-4-6",2014-04-06
"23","Looking at Measles Data in Project Tycho, part II","April 6, 2014","Wingfeet",2014,6,"April",4,"2014-4-6",2014-04-06
"24","On the rise of Big Data and Data Science","April 5, 2014","tlfvincent",2014,5,"April",4,"2014-4-5",2014-04-05
"25","Five Reasons to Teach Elementary Statistics With R:  #1","April 5, 2014","Homer White",2014,5,"April",4,"2014-4-5",2014-04-05
"26","Analyzing VC investment strategies with Crunchbase data","April 5, 2014","Benedikt Koehler",2014,5,"April",4,"2014-4-5",2014-04-05
"27","Choose Your Own Data Adventure","April 5, 2014","dgrapov",2014,5,"April",4,"2014-4-5",2014-04-05
"28","Regressions with Multiple Fixed Effects – Comparing Stata and R","April 5, 2014","Thiemo Fetzer",2014,5,"April",4,"2014-4-5",2014-04-05
"29","Making inferences about unusual population quantities.","April 4, 2014","BioStatMatt",2014,4,"April",4,"2014-4-4",2014-04-04
"30","Scraping organism metadata for Treebase repositories from GOLD using Python and R","April 4, 2014","What is this? David Springate's personal blog :: R",2014,4,"April",4,"2014-4-4",2014-04-04
"31","Two R tutorials for beginners","April 4, 2014","What is this? David Springate's personal blog :: R",2014,4,"April",4,"2014-4-4",2014-04-04
"32","Functional programming in R","April 4, 2014","What is this? David Springate's personal blog :: R",2014,4,"April",4,"2014-4-4",2014-04-04
"33","Develop in RStudio, run in RScript","April 4, 2014","What is this? David Springate's personal blog :: R",2014,4,"April",4,"2014-4-4",2014-04-04
"34","Mapping academic collaborations in Evolutionary Biology","April 4, 2014","What is this? David Springate's personal blog :: R",2014,4,"April",4,"2014-4-4",2014-04-04
"35","R as a Publishing Engine | CPI Components Use Case","April 4, 2014","klr",2014,4,"April",4,"2014-4-4",2014-04-04
"36","R for Open Science","April 4, 2014","David Smith",2014,4,"April",4,"2014-4-4",2014-04-04
"37","Flip the script, or, the joys of coord_flip()","April 4, 2014","Dan Mirman",2014,4,"April",4,"2014-4-4",2014-04-04
"38","The Collatz Fractal","April 4, 2014","aschinchon",2014,4,"April",4,"2014-4-4",2014-04-04
"39","Le Monde puzzle [#860]","April 3, 2014","xi'an",2014,3,"April",4,"2014-4-3",2014-04-03
"40","Introduction to Data Science with R, April 28-29 San Francisco","April 3, 2014","rwo2014",2014,3,"April",4,"2014-4-3",2014-04-03
"41","Some R Resources for GLMs","April 3, 2014","Joseph Rickert",2014,3,"April",4,"2014-4-3",2014-04-03
"42","Does R have too many packages?","April 3, 2014","Francis Smart",2014,3,"April",4,"2014-4-3",2014-04-03
"43","Boston Marathon Winners and Challenging Africa","April 2, 2014","jlebeau",2014,2,"April",4,"2014-4-2",2014-04-02
"44","Inference for ARCH processes","April 2, 2014","arthur charpentier",2014,2,"April",4,"2014-4-2",2014-04-02
"45","Seven quick facts about R","April 2, 2014","David Smith",2014,2,"April",4,"2014-4-2",2014-04-02
"46","xts like endpoints in Javascript","April 2, 2014","klr",2014,2,"April",4,"2014-4-2",2014-04-02
"47","Announcing The Pooled Resources Open Access ALS Clinical Trial (PRO-ACT) database","April 2, 2014","Tal Galili",2014,2,"April",4,"2014-4-2",2014-04-02
"48","Merge .ASC grids with R","April 2, 2014","Fabio Veronesi",2014,2,"April",4,"2014-4-2",2014-04-02
"49","AERA Preview","April 2, 2014","Educate-R - R",2014,2,"April",4,"2014-4-2",2014-04-02
"50","Deploying Desktop Apps with R","April 2, 2014","Lee Pang",2014,2,"April",4,"2014-4-2",2014-04-02
"51","Sales Dashboard in R with qplot and ggplot2 – Part 1","April 2, 2014","Marco Ghislanzoni",2014,2,"April",4,"2014-4-2",2014-04-02
"52","Kaplan-Meier plots using ggplots2 (updated)","April 1, 2014","Abhijit",2014,1,"April",4,"2014-4-1",2014-04-01
"53","Modeling the Marginals and the Dependence separately","April 1, 2014","arthur charpentier",2014,1,"April",4,"2014-4-1",2014-04-01
"54","Adding Annotation to R Objects","April 1, 2014","matloff",2014,1,"April",4,"2014-4-1",2014-04-01
"55","Stata Fully Mapped into R","April 1, 2014","Francis Smart",2014,1,"April",4,"2014-4-1",2014-04-01
"56","Melbourne’s Weather and Cross Correlations","April 1, 2014","Neil Gunther",2014,1,"April",4,"2014-4-1",2014-04-01
"57","Mapping the March 2014 California Earthquake with ggmap","April 1, 2014","hrbrmstr",2014,1,"April",4,"2014-4-1",2014-04-01
"58","You don’t need to understand pointers to program using R","April 1, 2014","John Mount",2014,1,"April",4,"2014-4-1",2014-04-01
"59","A look at R vectorization through the Collatz Conjecture","April 1, 2014","Joseph Rickert",2014,1,"April",4,"2014-4-1",2014-04-01
"60","Do Not Play With Mr. Penney","April 1, 2014","aschinchon",2014,1,"April",4,"2014-4-1",2014-04-01
"61","IV Estimates via GMM with Clustering in R","April 1, 2014","diffuseprior",2014,1,"April",4,"2014-4-1",2014-04-01
"62","Daylight Saving Effect on S&P500 and FTSE100","April 1, 2014","andrew",2014,1,"April",4,"2014-4-1",2014-04-01
"63","Include uncertainty in a financial model","April 1, 2014","simonraper",2014,1,"April",4,"2014-4-1",2014-04-01
"64","Calendar charts with googleVis","April 1, 2014","Markus Gesmann",2014,1,"April",4,"2014-4-1",2014-04-01
"65","analyze the european social survey (ess) with r","March 31, 2014","Anthony Damico",2014,31,"March",3,"2014-3-31",2014-03-31
"66","Correlation with constraints on pairs","March 31, 2014","arthur charpentier",2014,31,"March",3,"2014-3-31",2014-03-31
"67","Capturing Intraday data, Backup plan","March 31, 2014","systematicinvestor",2014,31,"March",3,"2014-3-31",2014-03-31
"68","Predictive analysis in ecommerce","March 31, 2014","Amar Gondaliya",2014,31,"March",3,"2014-3-31",2014-03-31
"69","April Fools’ Day:  The 7 Funniest Data Cartoons","March 31, 2014","DataCamp",2014,31,"March",3,"2014-3-31",2014-03-31
"70","Process and observation uncertainty explained with R","March 31, 2014","beckmw",2014,31,"March",3,"2014-3-31",2014-03-31
"71","Exploratory data analysis on P/E ratio of Indian Stocks","March 31, 2014","saptarsi goswami",2014,31,"March",3,"2014-3-31",2014-03-31
"72","Moustache target distribution and Wes Anderson","March 31, 2014","Pierre Jacob",2014,31,"March",3,"2014-3-31",2014-03-31
"73","R: Free, Popular, Powerful, Flexible and Supported","March 31, 2014","David Smith",2014,31,"March",3,"2014-3-31",2014-03-31
"74","Probabilistic Momentum with Intraday data","March 30, 2014","systematicinvestor",2014,30,"March",3,"2014-3-30",2014-03-30
"75","Bayesian Data Analysis [BDA3 - part #2]","March 30, 2014","xi'an",2014,30,"March",3,"2014-3-30",2014-03-30
"76","The freqparcoord Package for Multivariate Visualization","March 30, 2014","matloff",2014,30,"March",3,"2014-3-30",2014-03-30
"77","New Blog on R, Statistics, Data Science and So On","March 30, 2014","matloff",2014,30,"March",3,"2014-3-30",2014-03-30
"78","Looking at Measles Data in Project Tycho","March 30, 2014","Wingfeet",2014,30,"March",3,"2014-3-30",2014-03-30
"79","President Approval Ratings from Roosevelt to Obama","March 29, 2014","tlfvincent",2014,29,"March",3,"2014-3-29",2014-03-29
